交易日期,買/賣/股利,代號,股票,交易類別,買入股數,買入價格,賣出股數,賣出價格,現價,手續費,交易稅,交易成本,支出,收入,價差,ROR,持有時間,打平
2022/10/14,買,2610,華航,一般,200,17.4,,,24.5,2,,2,"-3,482",,7.05,,884,
2022/10/14,買,2618,長榮航,一般,200,24.45,,,43.3,2,,2,"-4,892",,18.80,,884,
2022/10/18,買,0056,元大高股息,一般,1000,26.01,,,35.9,20,,20,"-26,030",,9.88,,880,
2022/10/18,賣,8464,億豐,一般,, ,20,246,418.0,2,14,16,,"4,904",172.00,,880,
2022/10/21,買,8069,元太,一般,20,188,,,289.0,2,0,2,"-3,762",,101.00,,877,
2022/10/27,賣,2376,技嘉,一般,, ,50,93,260.0,2,13,15,,"4,635",167.00,,871,
2022/10/28,賣,8069,元太,一般,, ,40,202,289.0,4,24,28,,"8,052",87.00,,870,
2022/11/8,賣,2618,長榮航,一般,, ,200,26.35,43.3,3,15,18,,"5,252",16.90,,859,
2022/11/10,買,8069,元太,一般,50,187,,,289.0,4,0,4,"-9,354",,102.00,,857,
2022/11/11,賣,2330,台積電,一般,, ,40,438,959.0,7,52,59,,"17,461",521.00,,856,
2022/11/15,賣,2330,台積電,一般,, ,20,465,959.0,4,27,31,,"9,269",494.00,,852,
2022/11/15,賣,2330,台積電,一般,, ,20,481,959.0,4,28,32,,"9,588",478.00,,852,
2022/11/18,買,8069,元太,一般,50,176.5,,,289.0,4,,4,"-8,829",,112.50,,849,
2022/11/18,買,8069,元太,一般,50,170,,,289.0,4,,4,"-8,504",,119.00,,849,
2022/11/25,賣,8069,元太,一般,, ,50,181,289.0,4,27,31,,"9,019",108.00,,842,
2022/11/28,買,8933,愛地雅,一般,1000,18,,,8.7,20,,20,"-18,020",,-9.28,,839,
2022/12/5,賣,2404,漢唐,一般,, ,50,184.5,413.5,4,27,31,,"9,194",229.00,,832,
2022/12/5,賣,8069,元太,一般,, ,100,186,289.0,8,55,63,,"18,537",103.00,,832,
2022/12/6,買,2330,台積電,一般,20,483,,,959.0,4,,4,"-9,664",,476.00,,831,
2022/12/6,買,2367,燿華,一般,1000,19.8,,,28.8,20,,20,"-19,820",,9.00,,831,19.85
2022/12/7,買,8069,元太,一般,100,173.5,,,289.0,7,,7,"-17,357",,115.50,,830,
2022/12/9,賣,2610,華航,一般,, ,200,19.7,24.5,2,11,13,,"3,927",4.75,,828,
2022/12/13,買,8933,愛地雅,一般,1000,16.75,,,8.7,20,,20,"-16,770",,-8.03,,824,
2022/12/19,賣,9103,美德醫療-DR,一般,, ,1000,8.24,6.1,20,8,28,,"8,212",-2.15,,818,
2022/12/20,買,2330,台積電,一般,20,464,,,959.0,4,,4,"-9,284",,495.00,,817,
2022/12/20,買,8933,愛地雅,一般,1000,15,,,8.7,20,,20,"-15,020",,-6.28,,817,
2022/12/22,賣,8933,愛地雅,一般,, ,1000,15.8,8.7,20,47,67,,"15,733",-7.08,,815,
2022/12/28,買,2330,台積電,一般,20,450,,,959.0,4,,4,"-9,004",,509.00,,809,
2023/1/9,賣,2330,台積電,一般,, ,20,475.5,959.0,4,28,32,,"9,478",483.50,,797,
2023/1/30,賣,2330,台積電,一般,, ,20,538,959.0,5,32,37,,"10,723",421.00,,776,
2023/2/8,買,8464,億豐,一般,20,383,,,418.0,4,,4,"-7,664",,35.00,,767,
2023/2/21,賣,0056,元大高股息,一般,, ,1000,27.54,35.9,20,27,47,,"27,493",8.35,,754,30.93
2023/2/24,買,3019,亞光,一般,100,81,,,157.0,4,,4,"-8,104",,76.00,,751,85.65
2023/3/3,買,2409,友達,一般,1000,21.1,,,15.3,20,,20,"-21,120",,-5.80,,744,24.51
2023/3/10,買,8069,元太,一般,100,180,,,289.0,8,,8,"-18,008",,109.00,,737,
2023/3/10,買,8069,元太,一般,100,181,,,289.0,8,,8,"-18,108",,108.00,,737,
2023/3/14,買,8933,愛地雅,一般,1000,13.55,,,8.7,20,,20,"-13,570",,-4.83,,733,
2023/3/22,買,6462,神盾,一般,50,93,,,127.5,2,,2,"-4,652",,34.50,,725,
2023/3/22,賣,8069,元太,一般,, ,200,184,289.0,17,110,127,,"36,673",105.00,,725,
2023/3/24,買,2404,漢唐,一般,100,214.5,,,413.5,9,,9,"-21,459",,199.00,,723,
2023/3/24,買,6462,神盾,一般,50,90.2,,,127.5,2,,2,"-4,512",,37.30,,723,
2023/4/7,買,8069,元太,一般,200,170.5,,,289.0,14,,14,"-34,114",,118.50,,709,
2023/4/11,賣,8069,元太,一般,, ,200,180,289.0,15,108,123,,"35,877",109.00,,705,
2023/4/12,買,6811,宏碁資訊,一般,100,231,,,257.0,10,,10,"-23,110",,26.00,,704,
2023/4/17,賣,6811,宏碁資訊,一般,, ,100,239.5,257.0,71,,71,,"23,879",17.50,,699,
2023/4/17,買,4433,興采,一般,1000,37.65,,,28.8,20,,20,"-37,670",,-8.85,,699,
2023/4/20,買,2618,長榮航,一般,1000,26.3,,,43.3,20,,20,"-26,320",,16.95,,696,
2023/4/20,買,6811,宏碁資訊,一般,100,242,,,257.0,10,,10,"-24,210",,15.00,,696,
2023/4/24,賣,6811,宏碁資訊,一般,, ,100,275.5,257.0,11,82,93,,"27,457",-18.50,,692,
2023/4/25,買,2303,聯電,一般,200,49,,,44.9,4,,4,"-9,804",,-4.10,,691,
2023/4/25,買,8933,愛地雅,一般,1000,11.85,,,8.7,20,,20,"-11,870",,-3.13,,691,14.64
2023/4/26,買,6811,宏碁資訊,一般,100,262,,,257.0,11,,11,"-26,211",,-5.00,,690,
2023/4/27,賣,6811,宏碁資訊,一般,, ,100,277,257.0,12,83,95,,"27,605",-20.00,,689,
2023/5/2,賣,2618,長榮航,一般,, ,1000,27.1,43.3,20,81,101,,"26,999",16.15,,684,
2023/5/3,買,2603,長榮,一般,100,151,,,220.0,7,,7,"-15,107",,69.00,,683,
2023/5/3,買,6517,保勝光學,一般,100,140,,,77.6,6,,6,"-14,006",,-62.40,,683,
2023/5/4,賣,6517,保勝光學,一般,, ,100,146,77.6,6,43,49,,"14,551",-68.40,,682,
2023/5/5,買,6811,宏碁資訊,一般,100,279,,,257.0,12,,12,"-27,912",,-22.00,,681,
2023/5/8,賣,6811,宏碁資訊,一般,, ,100,292.5,257.0,12,87,99,,"29,151",-35.50,,678,
2023/5/10,買,6517,保勝光學,一般,100,144,,,77.6,6,,6,"-14,406",,-66.40,,676,
2023/5/10,買,6811,宏碁資訊,一般,100,269.5,,,257.0,11,,11,"-26,961",,-12.50,,676,
2023/5/12,賣,6811,宏碁資訊,一般,,,100,280,257.0,12,84,96,,"27,904",-23.00,,674,
2023/5/17,賣,6517,保勝光學,一般,,,100,152,77.6,7,45,52,,"15,148",-74.40,,669,
2023/5/19,買,6517,保勝光學,一般,100,163.5,,,77.6,7,,7,"-16,357",,-85.90,,667,
2023/5/19,買,6517,保勝光學,一般,100,157.5,,,77.6,7,,7,"-15,757",,-79.90,,667,
2023/5/23,買,6112,邁達特,一般,300,73.5,,,54.1,9,,9,"-22,059",,-19.40,,663,
2023/5/25,賣,2330,台積電,一般,,,30,538,959.0,7,48,55,,"16,085",421.00,,661,
2023/5/26,賣,2330,台積電,一般,,,30,565,959.0,7,50,57,,"16,893",394.00,,660,544.48
2023/5/26,買,6112,邁達特,一般,100,71.3,,,54.1,3,,3,"-7,133",,-17.20,,660,72.98
2023/6/13,買,6517,保勝光學,一般,100,117,,,77.6,5,,5,"-11,705",,-39.40,,642,142.63
2023/7/4,賣,6112,邁達特,一般,,,400,79.7,54.1,13,95,108,,"31,772",-25.60,,621,
2023/7/7,賣,6462,神盾,一般,,,100,112,127.5,5,33,38,,"11,162",15.50,,618,
2023/7/10,買,3231,緯創,一般,100,104,,,104.5,5,0,5,"-10,405",,0.50,,615,
2023/7/13,買,2603,長榮,一般,80,97.1,,,220.0,4,0,4,"-7,772",,122.90,,612,
2023/7/14,買,2610,華航,一般,1000,24.9,,,24.5,20,0,20,"-24,920",,-0.45,,611,
2023/7/14,賣,3231,緯創,一般,,,100,141,104.5,6,42,48,,"14,052",-36.50,,611,
2023/8/10,買,2368,金像電,一般,100,167.5,,,216.5,7,,7,"-16,757",,49.00,,584,
2023/8/10,買,2376,技嘉,一般,100,296,,,260.0,12,,12,"-29,612",,-36.00,,584,
2023/8/15,賣,2376,技嘉,一般,,,100,314,260.0,13,94,107,,"31,293",-54.00,,579,
2023/8/16,買,8069,元太,一般,100,193,,,289.0,8,,8,"-19,308",,96.00,,578,
2023/8/18,賣,2368,金像電,一般,,,100,209.5,216.5,9,62,71,,"20,879",7.00,,576,
2023/8/23,買,2646,星宇航空,一般,1000,23.7,,,27.6,20,,20,"-23,720",,3.85,,571,
2023/8/25,買,2382,廣達,一般,100,244,,,256.5,10,,10,"-24,410",,12.50,,569,
2023/9/1,賣,2646,星宇航空,一般,,,1000,25.95,27.6,20,77,97,,"25,853",1.60,,562,
2023/9/4,買,2634,漢翔,一般,344,61.4,,,45.2,9,,9,"-21,131",,-16.20,,559,
2023/9/14,賣,0056,元大高股息,一般,,,1000,35.28,35.9,50,35,85,,"35,195",0.61,,549,
2023/9/14,賣,2404,漢唐,一般,,,100,236,413.5,10,70,80,,"23,520",177.50,,549,
2023/9/19,賣,2367,燿華,一般,,,1000,21.15,28.8,20,63,83,,"21,067",7.65,,544,
2023/9/20,買,2367,燿華,一般,1000,19.8,,,28.8,20,,20,"-19,820",,9.00,,543,
2023/10/11,買,2609,陽明,一般,250,43.5,,,74.2,5,,5,"-10,880",,30.70,,522,
2023/10/13,買,2382,廣達,一般,50,227.5,,,256.5,5,,5,"-11,380",,29.00,,520,
2023/10/13,買,3231,緯創,一般,100,99.6,,,104.5,4,,4,"-9,964",,4.90,,520,
2023/12/4,賣,2367,燿華,一般,,,1000,22.3,28.8,20,66,86,,"22,214",6.50,,468,
2024/1/29,賣,8069,元太,一般,,,100,214,289.0,9,64,73,,"21,327",75.00,,412,
2024/1/30,賣,2382,廣達,一般,,,100,249,256.5,5,37,42,,"24,858",7.50,,411,
2024/2/5,賣,3231,緯創,一般,,,100,124.5,104.5,5,37,42,,"12,408",-20.00,,405,
2024/2/15,賣,2382,廣達,一般,,,100,269,256.5,9,64,73,,"26,827",-12.50,,395,
2024/2/19,買,3044,健鼎,一般,100,217.5,,,208.5,9,0,9,"-21,759",,-9.00,,391,
2024/3/4,賣,2367,燿華,一般,,,200,23.9,28.8,2,14,16,,"4,764",4.90,,377,
2024/3/6,買,4433,興采,一般,1000,28.6,,,28.8,20,0,20,"-28,620",,0.20,,375,
2024/3/7,賣,2330,台積電,一般,,,100,767,959.0,31,230,261,,"76,439",192.00,,374,
2024/3/8,賣,2603,長榮,一般,,,300,185,220.0,23,166,189,,"55,311",35.00,,373,
2024/3/8,買,2610,華航,一般,1000,19.5,,,24.5,20,0,20,"-19,520",,4.95,,373,
2024/3/8,買,2634,漢翔,一般,656,47.5,,,45.2,13,0,13,"-31,173",,-2.30,,373,
2024/3/13,買,3231,緯創,一般,100,115.5,,,104.5,5,0,5,"-11,555",,-11.00,,368,
2024/3/14,買,2603,長榮,一般,100,182,,,220.0,8,0,8,"-18,208",,38.00,,367,
2024/3/15,買,2603,長榮,一般,100,166.5,,,220.0,7,0,7,"-16,657",,53.50,,366,
2024/4/9,賣,2409,友達,一般,,,1000,18.9,15.3,20,56,76,,"18,824",-3.60,,341,
2024/4/9,賣,2634,漢翔,一般,,,1000,54.5,45.2,22,163,185,,"54,315",-9.30,,341,
2024/4/10,買,2002,中鋼,一般,1000,25.75,,,24.3,20,0,20,"-25,770",,-1.45,,340,
2024/4/16,買,2609,陽明,一般,700,43.95,,,74.2,13,0,13,"-30,778",,30.25,,334,
2024/4/18,賣,8933,愛地雅,一般,,,1000,10.4,8.7,20,31,51,,"10,349",-1.68,,332,
2024/4/18,買,2609,陽明,一般,1000,43.65,,,74.2,20,0,20,"-43,670",,30.55,,332,
